chokepoint,littoral_iso3,notes,eia_oil_transit_mbd_2023
Strait of Hormuz,IRN;OMN;ARE,No country-GPR series for Iran or UAE; use Saudi Arabia and Oman as proxies and flag,20.9
Strait of Malacca,IDN;MYS;SGP,Indonesia and Malaysia covered by GPR; Singapore not,23.7
Bab el-Mandeb,YEM;DJI;ERI,No GPR series for any littoral state; proxy with Egypt and Saudi Arabia,8.7
Suez Canal / SUMED,EGY,Egypt covered,9.2
Turkish Straits,TUR,Turkey covered,3.2
Danish Straits,DNK;SWE,Both covered,3.3
Panama Canal,PAN,Not covered by GPR; low geopolitical risk relative to hydrological risk,2.1
Taiwan Strait,TWN;CHN,Both covered; highest GPR-relevant chokepoint for semiconductors and container traffic,
